partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high
flow,intrinsic | intrinsic,9,900-1000,950.0,2710853,96170,156606.0,156606.0,0.035475918465516204,0.03525637129088322,0.03569678220964429
flow,intrinsic | intrinsic,10,1000-1100,1050.0,2590155,75869,122260.0,122260.0,0.029291297238968325,0.029086638544074003,0.029497352199237176
flow,intrinsic | intrinsic,11,1100-1200,1150.0,2547888,62942,101162.0,101162.0,0.024703597646364362,0.024513716838529244,0.024894911716498498
flow,intrinsic | intrinsic,12,1200-1300,1250.0,2458229,51110,82473.0,82473.0,0.020791390875300877,0.020613767309393047,0.020970512206401382
flow,intrinsic | intrinsic,13,1300-1400,1350.0,2398794,42284,67897.0,67897.0,0.01762719099680923,0.017461433057376987,0.01779449394628853
flow,intrinsic | intrinsic,14,1400-1500,1450.0,2354480,35833,56900.0,56900.0,0.015219071727090482,0.015063483976187335,0.015376241425069371
flow,intrinsic | intrinsic,15,1500-1600,1550.0,2282081,29879,47749.0,47749.0,0.013092874442230578,0.012946207500481756,0.013241180676594156
flow,intrinsic | intrinsic,16,1600-1700,1650.0,2257278,25862,41537.0,41537.0,0.0114571621218122,0.011319155912267585,0.011596831204048565
flow,intrinsic | intrinsic,17,1700-1800,1750.0,2203473,22309,35869.0,35869.0,0.010124471686287965,0.009993139167171428,0.010257512329396586
flow,intrinsic | intrinsic,18,1800-1900,1850.0,2171052,19311,30869.0,30869.0,0.008894766223931993,0.008770736423188338,0.009020534008406812
flow,intrinsic | intrinsic,19,1900-2000,1950.0,2146447,17026,27457.0,27457.0,0.007932178153012863,0.007814379668045742,0.008051737989982809
